"Specific Term","Generic Term","Associated Meeting","Proposer","Year of Proposal","Discoverer","Year of Discovery","Origin of Name","Additional Information","Coordinates","Secondary Coordinates"
"Kiselev","Seamount",,"Garrik E. Grikurov, All-Russia Research Institute for Geology and Mineral Resources of the World Ocean (VNIIOkeangeologia)",,"USSR Northern Fleet Hydrographic Expedition",,"Named after Yuriy Georgiyevich Kiselev (1926-2000), Russian Doctor of Geology and Mineralogy. From  1961, he worked for the Russian Navy Hydrographic Service and participated in 27 expeditions in the Arctic high latitudes at the Northern Fleet Hydrographic Service. He led seismic surveys throughout the Central Arctic Basin. He was a Corresponding Member at the Russian Academy of Natural Sciences, a winner of the USSR State Prize, a Honoured Polar Explorer and the author of about 200 scientific papers.","Isolated feature discovered in 1977 by the USSR Northern Fleet Hydrographic Expedition.","POINT (-125.316666666667 82.95)",
"Kiska","Knoll",,,,,,,,"POINT (176.4 51.116667)",
"Kita","Knoll","SCUFN-15","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Kita ""is the Japanese term for ""North.""","Relief: 600 m; Least depth: 2640 m.","POINT (144.203333 26.591667)",
"Kita-Amami","Seamounts","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"Named after the nearby Amami Island (Kita=North in Japanese).","Taken from Japanese Bathymetric Chart No. 6725.","LINESTRING (131.1 28.533333, 131.8 28.666667, 132.166667 29.1)",
"Kita-Amami","Escarpment","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"Named after the nearby Amami Island (Kita=North, in Japanese).","Relief: 700-1000 m; Significant lineation. Shown as Kita Anami Escarpment in ACUF Gazetteer.","LINESTRING (133.333333 28.65, 133.15 29.833333)",
"Kita-Daito","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"Named after the nearby island of Daito (Kita=North in Japanese).","Relief: 1100 m; Least depth: 4200 m. Taken from Japanese Bathymetric Chart No. 6725","POINT (129.97 26.481667)",
"Kita-Daito","Basin","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"Named after the nearby island of Daito (Kita=North in Japanese).","Depression: about 1000 m; Maximum depth: 5400-5800 m. Many elevations. Irregular. Taken from Japanese Bathymetric Chart No. 6725. ","LINESTRING (131.5 27, 135 26.416667)",
"Kita-Fukutoku","Bank","SCUFN-15","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"Named after the Japanese fishery vessel ""Fukutoku."" She reported the first major eruption. (Kita=North, in Japanese.)","Relief: 900 m; Least depth: 73 m.","POINT (141.416667 24.416667)",
"Kita-Hiyosi","Seamount",,,,,,,,"POINT (141.716667 23.75)",
"Kita-Io","Bank","SCUFN-15","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"Named after the nearby island of Io (Kita=North, in Japanese).","Relief: 500 m; Least depth: 75 m.","POINT (141.233333 25.316667)",
"Kita-Kaise","Knoll","SCUFN-15","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan","2001",,,"Named after the Japanese fishery vessel ""Kaise"". She witnessed volcanic activities first hand. (""Kita"" means ""North"", in Japanese)",,"POINT (141.186828612853 25.2752054452232)",
"Kita-Koho","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Koho"" was the name of a Japanese research vessel in the 1930s (Kita=North, in Japanese).","Relief: 1500 m; Least depth: 329 m. Taken from Japanese Bathymetric Chart No. 6725.","POINT (135.366667 26.75)",
"Kita-Kyowa","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Kyowa"" designates an era of the Japan history. (Kita=North, in Japanese)","Relief: 1200 m; Least depth: 2200 m. Irregular summit. Taken from Japanese Bathymetric Chart No. 6725. Shown as Kita-Kyôwa Seamount in ACUF Gazetteer.","POINT (138.776667 28.491667)",
"Kita-Mikazuki","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Mikazuki"" means Crescent Moon in Japanese (Kita=North). ","Relief: 1500 m; Least depth: 3230 m. Taken from Japanese Bathymetric Chart No. 6722.","POINT (136.971667 23.285)",
"Kita-Oki-Daito","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"Named after the nearby island of Oki - Daito. (Kita=North in Japanese).","Relief: 1400 m; Least depth: 3930 m. Taken from Japanase Bathymetric Chart No. 6315.","POINT (129.55 25.46)",
"Kita-Rensei","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Rensei"" is the Japanese term for a binary star (Kita=North, in Japanese).","Relief: 1700 m; Least depth: 2550 m. Taken from Japanese Bathymetric Chart No. 6725.","POINT (135.083333 25.458333)",
"Kita-Ryusei","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Ryusei"" is the Japanese term for a shooting star (Kita=North in Japanese).","Relief: 1400 m; Least depth: 1030 m. Taken from Japanese Bathymetric Chart No. 6725. Shown as Kita-Ryûsei in ACUF Gazetteer.","POINT (135.44 25.866667)",
"Kita-Tennosei","Knoll","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Tennosei"" designates, in Japanese, the planet Uranus (Kita=North).","Relief: 500 m; Least depth: 3100 m. Taken from Japanese Bathymetric Chart No. 6722.","POINT (136.238333 19.908333)",
"Kita-Yamato","Bank",,,,,,,"Shown as North Yamato Ridge in the ACUF Gazetteer.","POINT (134 39.833333)",
"Kitami-Yamato","Bank",,,,,,,,"POINT (144.183333 44.483333)",
"Kiwi","Seamount",,,,,,,,"POINT (-64.6 39.316667)",
"Kiwi","Seamount",,,,,,"Named after the New Zealand minesweeper HMNZS ""Kiwi""","Position revised at SCUFN-11 in 1995, then at SCUFN-26 in 2013.","POINT (173.6472 -31.026)",
"Kizilirmak","Canyon",,,,,,,,"POINT (35.733333 42.1)",
"Kkotsin","Knoll","SCUFN-26","Korea Committee on Geographical Names (KCGN), KCGN, 365 Seohae-Daero, Jung-gu, Incheon 400-800, Republic of Korea","2013","Korean research vessel ""Araon""","2011","Kkotsin is the Korean word for ""flower shoes"" which are traditional Korean woman's shoes, worn in historical times. The shape of the feature is similar to that of flower shoes as seen in the profiles. Kkotsin are most often covered with silk and embroidered with the patterns of flowers and birds.","Located near Heirtzler Fracture Zone.","POINT (-172.4833 -61.6033)","POLYGON ((-172.565 -61.5783, -172.585 -61.5967, -172.5683 -61.6083, -172.565 -61.6233, -172.5233 -61.63, -172.4717 -61.635, -172.4417 -61.62, -172.43 -61.61, -172.4533 -61.5817, -172.5233 -61.5717, -172.565 -61.5783))"
"Klenova","Valley","SCUFN-16","Garrik E. Grikurov, All-Russia Research Institute for Geology and Mineral Resources of the World Ocean (VNIIOkeangeologia)",,"USSR Northern Fleet Hydrographic Expedition",,"Named after Mariya Vasil'yevna Klenova (1898-1976), doctor of geology and Honoured Scientist of the RSFSR.. From 1925, she worked at the Floating Marine Research Institute and participated in marine expeditions to the northern seas and the archipelagos of Novaya Zemlya, Spitsbergen, and Franz Josef Land. In 1933 she produced the trade map of the Barents Sea Seabed Types. She participated in numerous expeditions onboard research vessels to the Arctic and Antarctic. She is seen as the founder of Russian marine geology.",,"LINESTRING (-45.833333 85.316667, -55 84.6, -71.833333 84.35)",
"Klenova","Seamount",,"Russian Federal Research Institute of Fisheries and Oceanography (VNIRO), VNIRO, 17 V. Krasnoselskaya St., Moscow 107140, Russian Federation",,"Russian R/V  Akademik Knipovich",,"Named after the Russian marine geologist and explorer Professor M. V. Klenova (1898-1976), author of ""Marine geology"" (1948), ""Geology of the Atlantic Ocean"" (1975) and many articles. She worked in the Atlantic Ocean, in Antarctic waters, in Caspian, Barents and White Seas.",,"POINT (-34.25 -13.025)",
"Knipovich","Ridge",,"V. D. Dibner, NIIGA, Russia and Vladimir M. Litvin, Polar Research Institute of Marine Fisheries and Oceanography (PINRO), Russia",,"Russian research vessel ""Akademik Knipovich""",,"Named after the Russian Academician N. M. Knipovich (1862-1939) ichthyologist and hydro-biologist.",,"LINESTRING (8 74.3333, 7.15077265625 75.008384375, 6.521271875 76.2108125, 6.624575 77.297309375, 6.4992015625 78.205290625, 4.8134 78.5462, 2.0527 78.7404, 0 79)",
"Knipovich","Seamount",,"Dr. Galina V. Agapova, Moscow, Russia",,"R/V Akademik Knipovich",,"In honour of ship ""Akademik Knipovich.""",,"POINT (-26.883333 5.616667)",
"Knipper","Seamount","SCUFN-26","Ksenia O. Dobrolyubova, Geological Institute of the Russian Academy of Sciences (GIN RAS)","2013","Russian research vessel ""Akademik Nikolay Strakhov""","2012","Named after A.L. Knipper (1931-2010), a Russian geologist, member of the Russian Academy of Sciences (1992) and director of its Geological Institute. He was one of the first Russian scientists who justified the oceanic nature of ofiolite associations of the Alpine zone.","The feature is located near the Rodrigues Tripple Junction. The area has been extensively mapped by French scientists from 2006 to 2009 [Cannat, M., Sauter, D., Escartin, J., Lavier, L., and Picazo, S. (2009). Oceanic corrugated surfaces and the strength of the axial lithosphere at slow spreading ridges. Earth Planet. Sci. Lett. doi:10.1016/j.epsl.2009.09.020].","POINT (63.7693 -26.7942)","MULTIPOLYGON (((63.74811706682 -26.8560747612106, 63.7782883462724 -26.8398825662973, 63.8239252158477 -26.8360620516425, 63.8506030299157 -26.8194296890954, 63.8598400972736 -26.7939942419956, 63.8536867159515 -26.7673159476912, 63.8386951835889 -26.7522665886357, 63.8073779699062 -26.7422073278422, 63.7701696563536 -26.740187955597, 63.7280260870255 -26.7417463709388, 63.6948564520824 -26.7512634615019, 63.6641844530544 -26.7647686196522, 63.6375011111089 -26.78314731218, 63.6117465675178 -26.7912757770699, 63.6024139370229 -26.8091266713766, 63.607449719783 -26.8229085567999, 63.6303377022107 -26.8334949233729, 63.6651192873576 -26.8400146885797, 63.699408292672 -26.846528276224, 63.7247998809908 -26.8584225183973, 63.74811706682 -26.8560747612106)))"
"Knyazev","Seamount","SCUFN-16","Garrik E. Grikurov, All-Russia Research Institute for Geology and Mineral Resources of the World Ocean (VNIIOkeangeologia)",,"USSR Northern Fleet Hydrographic Expedition",,"Named after Anatoliy Pavlovich Knyazev (1923-1997), Russian hydrographer and winner of the USSR State Prize. In the 1960s he was instrumental in resolving problems of navigational and hydrographic support for the nuclear submarine navigation under the ice in the Arctic Basin. He took part in the cruise of a nuclear submarine to the North Pole where he tested a new navigational system. He published 15 scientific and technical papers and held 3 Certificates of Invention.",,"POINT (-116.45 87.203333)",
"Kobayashi","Basin and Ridge Province","SCUFN-26","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan","2013","Japanese R/V Shoyo","2002","Named after Dr Kazuo Kobayashi, a renowned Japanese marine geophysicst who died in August 2013. His primaly area of interest was the Philippine Sea, including the Kyushu-Palau Ridge and Shikoku Basin.","This province consists of combination of numerous small basins, ridges and associated escarpments. Multi-channel seismic profiles show clear evidence of development of syn-rift basins, including tilted horizons. Furthermore, the eastern edge of the province yield basalts with island arc affinity, suggesting that the province is within an extended region of the Kyushu-Palau Ridge, and ancient island arc of the Philippine Sea. These geological and geophysical data clearly suggest that this province is a fossil rift system.","POLYGON ((134.4225 14.0018, 134.4133 13.8912, 134.4003 13.5577, 134.4262 13.3277, 134.4047 13.0438, 134.3532 12.747, 134.3918 12.446, 134.4822 11.9662, 134.4563 11.734, 134.5208 11.4458, 135.0887 11.4513, 135.3165 11.805, 135.2177 12.0158, 134.9935 12.747, 135.0353 12.9728, 134.9515 13.105, 134.916 13.4697, 134.9418 13.6018, 134.9063 13.9793, 134.845 14.1115, 134.6 14.1405, 134.4225 14.0018))","POINT (134.7452 13.9)"
"Kocebu","Guyots","SCUFN-19","State Scientific Centre Yuzhmorgeologiya, Russia",,"Russian research vessel ""Vulkanolog""",,"Named after Captain O. E. Kocebu (1788-1846), who conducted oceanographic and meteorological research during three round the world expeditions on the vessels, ""Nadezhda,"" ""Rurik,"" and ""Predpriyatie."" He studied the origins of coral reefs and guyots, and generated an atlas of the South Pacific Ocean.","Minimum depth: 1174 m; Total relief: 3500 m. The feature consists of two isometric guyots. Slope steepness varies from 4-7° to 25°.","POINT (152.916667 17.416667)",
"Kodiak","Seamounts",,,,,,,,"POINT (-140 55)",
"Kodiak","Seamount",,,,,,,,"POINT (-149.270599364833 56.8798846581967)",
"Kodori","Canyon",,,,,,,,"POINT (40.833333 42.633333)",
"Koehr","Seamount","SCUFN-13",,,,,,,"POINT (-177.3 33.45)",
"Kohler","Seamount",,,,,,,,"POINT (65.0975036622956 -52.9526392780719)",
"Kohnen","Seamount","SCUFN-13","Hans Werner Schenke, Alfred-Wegener Institute for Polar and Marine Research (AWI), Germany, Alfred-Wegener Institute for Polar and Marine Research (AWI)
POB 120161 27515 Bremerhaven Germany",,,,"Named after Dr. Heinz Kohnen, Antarctic scientist. He was Director of Antarctic Logistics for the Alfred Wegener Institute for Polar and Marine Research (AWI), Bremerhaven, Germany. He died in 1977.",,"POINT (5.733333 -57.616667)",
"Koho","Ridge","SCUFN-24","Japanese Committee on Undersea Feature Names",,"Japanese survey vessels ""Takuyo"" and ""Meiyo""",,"Proposer: Japanese Committee on Undersea Feature Names (JCUFN), c/o JHOD, 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan (ohara@jodc.go.jp)
Date of Proposal: August 2011
Discoverer: Japanese S/V Takuyo and Meiyo
Date of Discovery: Various surveys from October 1984 to May 2003

Named after Japan¿s survey vessel ¿Koho¿.","Position: Philippine Sea, Northwestern Pacific Ocean
Minimum Depth: 270 m
Maximum Depth: 5200 m
Total Relief: 4930 m
Dimension/Size: 140 km x 30 km

Revised coordinates accepted at SCUFN-24 (2011).","POLYGON ((134.383 26.667, 134.4 26.55, 134.55 26.483, 134.883 26.5, 135.75 26.617, 135.783 26.7, 135.683 26.9, 135.283 27, 134.483 26.783, 134.383 26.667))",
"Koho","Hole","SCUFN-24","Japanese Committee on Undersea Feature Names",,"Japanese survey vessels ""Takuyo"" and ""Meiyo""",,"Proposer: Japanese Committee on Undersea Feature Names (JCUFN), c/o JHOD, 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan (ohara@jodc.go.jp)
Date of Proposal: August 2011
Discoverer: Japanese S/V Takuyo and Meiyo
Date of Discovery: Various surveys from October 1984 to May 2003

Named after Japan¿s survey vessel ¿Koho¿.","Position: Philippine Sea, Northwestern Pacific Ocean
Minimum Depth: 4500 m
Maximum Depth: 5150 m
Total Relief: 650 m
Dimension/Size: 40 km x 15 km, with an 
elongated basin-like shape

Revised coordinates accepted at SCUFN-24 (2011).","POLYGON ((135.383 26.533, 135.467 26.333, 135.733 26.267, 135.733 26.35, 135.6 26.733, 135.417 26.733, 135.383 26.683, 135.383 26.533))",
"Koka","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan","2000",,,"""Koka"" designates an era of the Japan history.","Taken from Japanese Bathymetric Chart No. 6725.","POINT (138.766666667446 27.0833333335647)",
"Koki","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan","2000",,,"""Koki"" is the Japanese term for ""70th birthday"".","One of pair (with Kiju Seamount). Taken from Japanese Bathymetric Chart No. 6725.","POINT (133.574893799267 24.5100228973687)",
"Koko","Guyot",,"N. Christian Smoot, U.S. Naval Oceanographic Office (NAVOCEANO)",,,,,"Shown as Kôkô Seamount in ACUF Gazetteer.","POINT (171.583333 35.25)",
"Kokugan ","Fracture Zone","SCUFN-25","Yasuhiko Ohara, Japan Hydrographic and Oceanographic Department (JHOD), Japan Hydrographic and Oceanographic Department (JHOD), 2-5-18 Aomi, Koto-ku, Tokyo 135-0064, Japan","2012","Japanese Survey Vessels Takuyo and Shoyo","1993","""Kokugan"" is the Japanese for the Brant goose. A bird is relevant to the name of the nearby Oki-no-Tori Shima Island, which includes a ""bird"" (= ""tori"") within its name. ","Location: Philippine Sea, NW Pacific. 
Reference: Ohara et al., 2011, Tectonics of unusual crustal accretion in the Parece Vela Basin, in Y. Ogawa et al.  (eds), Accretionary prisms and convergent margin tectonics in the Northwest Pacific Basin, Modern   Approaches in Solid Earth Sciences, 8, Springer, doi: 10.1007/978-90-481-8885-7_7.","LINESTRING (140.05 16.8517, 139.94 16.2)",
"Kolbasin","Hill","SCUFN-26","State Scientific Centre ""Yuzhmorgeologiya"" (V.V. Krugliakov, M.E. Melnikov), State Scientific Centre ""Yuzhmorgeologiya"", 20, Krymskaya St., Gelendzhik 353461, Russia","2013","Russian Research Vessel ""Gelendzhik""","1999","Named after V.A. Kolbasin (1935-2005), a Russian scientist who lead numerous Soviet Scientific Center ""Yuzhmorgeologiya"" cruises, including Clarion-Clipperton Fracture Zone exploration cruises. He was the head of the first complex expedition by a vessel to the Clarion-Clipperton ore province. Later he became head of the fleet department of ""Yuzhmorgeologiya"".","The feature is located south of the Clarion Fracture Zone.","POINT (-141.7488 11.4453)",
"Kolbeinsey","Ridge",,,,,,,,"LINESTRING (-18.5 67.333333, -15.333333 70.333333)",
"Koldewey","Seamount","SCUFN-23","Hans Werner Schenke, Alfred-Wegener Institute for Polar and Marine Research (AWI), Germany, Alfred-Wegener Institute for Polar and Marine Research (AWI)
POB 120161 27515 Bremerhaven Germany",,"German R/V Polarstern (T. Hartmann) - Expeditions ARK-XIII/3 1997, ARK-XV/2 1999 and ARK-XVIII/2 2002",,"Named after Carl Christian Koldewey, born October 26, 1837 in Bücken near Hoya, Germany; died May 17, 1908 in Hamburg. He enrolled as a sailor in 1853, before he attended the naval school in Bremen. After becoming a captain, Koldewey studied mathematics, physics, and astronomy at the universities of Hannover and Göttingen between 1866 and 1867. Carl Koldewey was given the leadership of the first German Arctic expedition as captain of ship Grönland in the summer of 1868. He had the choice of either advancing northwards as far as possible along Greenland's east coast or to reach so-called Gillis-Land by travelling around Spitsbergen. But adverse conditions and strong ice floes prevented him from reaching both destinations. Finally he reached his northmost latitude of 81°5' near Spitsbergen and returned. The second expedition consisted of a two-vessel convoy: Germania and Hansa - under the command of Carl Koldewey. The Germania made it through the pack ice during late summer, explored the region around Sabine Island, Little Pendulum Island and Shannon. On September 13, 1869, the ship wintered near the south coast of Sabine Island. In late July 1870, Germania was able to raise anchor and continue the expedition, until it returned to Bremerhaven, most of the way by sail, on September 11, 1870.","Minimum depth: 2079 m; Maximum depth: 3600 m; Total relief: ~1500 m. Dimension/Size: 20 km x 40 km, with an oval shape and conical form, oriented NW to SE.","POINT (-1.016666667 80.2)",
"Komahashi","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Komahashi"" was the name of a Japanese vessel in the 1930s.","Relief: 1800 m; Least depth: 340 m. Taken from Japanese Bathymetric Chart No. 6725.","POINT (134.673333 28.098333)",
"Komahashi-Daini","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Komahashi"" was the name of a Japanese vessel in the 1930s. ""Daini"" means No. 2 in Japanese.","Relief: 1300 m; Least depth: 289 m. Taken from Japanese Bathymetric Chart No. 6725.","POINT (133.335 29.866667)",
"Komahashi-Daisan","Seamount",,,,,,,,"POINT (137.266667 31.616667)",
"Komandor","Basin",,"S. Dezhnev, Russia",,"V. Bering",,"Named after Commander (""Komandor"" in Russian) I. I. Bering (1681-1741), leader of the two Kamchatsk expeditions, that discovered Bering Strait (1725) and the Komandor Islands (1746).","Formerly ""Kamchatka"" Basin. Shown as Komandorskaya Basin in ACUF Gazetteer.","POINT (168 57)",
"Komarov","Seamount",,"Russian Federal Research Institute of Fisheries and Oceanography (VNIRO), VNIRO, 17 V. Krasnoselskaya St., Moscow 107140, Russian Federation",,"Russian Fishery R/V Darvin",,"Named after the Russian Academician V. L. Komarov (1869-1945), President of the Siberian Branch of the Russian Academy of Sciences.","Minimum depth: 302 m.","POINT (-113.303333 -36.803333)",
"Koniya","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"Named after the nearby district of Koniya.","Relief: 1500 m; Least depth: 1150 m. Taken from Japanese Bathymetric Chart No. 6725.","POINT (132.283333 28.125)",
"Konstantinov","Ridge","SCUFN-12","Russian Federal Research Institute of Fisheries and Oceanography (VNIRO), VNIRO, 17 V. Krasnoselskaya St., Moscow 107140, Russian Federation",,"Russian Fishery R/V Pavel Kajkov",,"Named after Russian biologist Dr. K. G. Konstantinov (1918-1983) who worked in the Atlantic and Pacific Oceans.","Minimum depth: 497 m; Relative height: 3103 m.","LINESTRING (-31.3 -33.583333, -30.633333 -38.733333)",
"Koppe","Canyon","SCUFN-12","Heinrich Hinze, Alfred-Wegener Institute for Polar and Marine Research (AWI), Germany",,,,"Named after Carl Koppe (1844-1910) German cartographer and geodesist who developed an empirical formula for the accuracy of topographic maps.",,"LINESTRING (-16 -71.8, -16.4878 -71.7225, -16.7531 -71.6803, -17.1119 -71.623, -17.4184 -71.5853, -17.6732 -71.5676, -18.0155 -71.5563, -18.3618 -71.5424, -18.7241 -71.5172, -19 -71.5)",
"Korean","Plateau",,,,,,,,"POINT (130 39)",
"Korotaev","Seamount","SCUFN-24","The Department of Navigation and Oceanography of the RF Ministry of Defence. 11 liniya, B-34, 199034, St. Petersburg (main@gunio.ru)",,"Submarine ""K-496""",,"Proposer: The Department of Navigation and Oceanography of the RF Ministry of Defence. 11 liniya, B-34, 199034, St. Petersburg (main@gunio.ru)
Date of Proposal: 2 August 2011
Discoverer: Submarine ¿K-496¿
Date of Discovery: 1997

Named after Rear Admiral K.M. Korotaev (1930¿2009), a Russian hydrographer. From 1952 to 1961 he conducted surveys in the Japanese and Okhotsk seas, as part of the Hydrographic Service of the Pacific Fleet. From 1962 to 1974 he led the Oceans and Seas Research and Development Department of the Ministry of Defence¿s Main Direction of Navigation and Oceanography. From 1974 to 1990 he led the Hydrographic Service of the USSR Northern Fleet. He made a valuable contribution to complex oceanographic studies in the Arctic Ocean, and led air high latitudes expeditions. He developed new methods of ocean research and mapping. He was awarded a State Prize for his contribution to Arctic Ocean research.","Position: Arctic Ocean
Minimum Depth: 1986 m
Maximum Depth: 3000 m
Total Relief: 1000 m
Dimension/Size: 40 miles","POINT (-1.7 81.092)",
"Kort","Seamount","SCUFN-18","HDNO, Russian Federation","2005","Russian research vessel ""Professor Zubov""","1968","Named after Vladimir Grigor'yevich Kort (1913-1994), a Russian oceanographer who led scientific expeditions to the Pacific, Atlantic and Indian Oceans. He conducted marine research in Antarctica and was one of the organizers of the UNESCO Intergovernmental Oceanographic Commission.",,"POINT (15.2022408047366 -62.0337234181619)",
"Koruenga","Knoll","SCUFN-25","New Zealand Geographic Board (NZGB), New Zealand Board of Geographical Names (NZGB),
GNS Science, 1 Fairway Drive Avalon, Lower Hutt, Wellington, New Zealand","2012",,,,"An isolated conical knoll, one of a group of knolls at the northern end of the Alderman Trough in the outer Bay of Plenty region, 113 km E of Coromandel Peninsula, New Zealand. 
References: Wright, 1989 (""Cuvier"" Chart) NIWA/Ministry of Fisheries Database.","POINT (176.8678 -36.4388)","POLYGON ((176.8775 -36.4283, 176.8572 -36.4247, 176.8372 -36.4372, 176.8422 -36.4567, 176.8739 -36.4569, 176.8864 -36.4414, 176.8775 -36.4283))"
"Kosciusko","Bank",,,,,,,"Shown as Kosciusko Tablemount in the ACUF Gazetteer.","POINT (179.5 -10.416667)",
"Kosei","Seamount","SCUFN-26","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan","2013","Japanese S/V Meiyo, Japan Hydrographic and Oceanographic Department (JHOD)","1995","""Kosei"" is the Japanese term for a fixed star.","Conical shape.","POINT (135.6818 25.1357)","POLYGON ((135.5118 25.085, 135.58 25.0253, 135.6438 24.9957, 135.7498 25.0078, 135.7927 25.0463, 135.7875 25.119, 135.7523 25.1653, 135.7297 25.1882, 135.7068 25.2267, 135.6482 25.2512, 135.559 25.211, 135.5152 25.1567, 135.5118 25.085))"
"Koshu","Seamount","SCUFN-11",,,,,"Origin of name unknown.","Variant: Koshû Seamount. Shown as Koshû Seamount in ACUF Gazetteer.","POINT (135.816667 31.533333)",
"Kosminskaya","Fracture Zone","SCUFN-12","Dr. G. B. Udintsev, GEOHI RAN, Russia",,"Russian research vessel ""Akademik Boris Petrov""",,"Named after the Russian Professor I. P. Kosminskaya (1916-1996), pioneering marine geophysicist, specialist in deep structure of lithosphere of oceans and continents.",,"LINESTRING (-29.9 -61.6, -28.12 -61.9133)",
"Kotobuki","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Kotobuki"" is the Japanese term for ""Good Luck"" or ""Fortune.""","Relief: 2000 m; Least depth: 3010 m. Taken from Japanese Bathymetric Chart No. 6725.","POINT (134.183333 26.56)",
